Shingokinoshita,O
Computer,X
~~BEGIN~~
1,O,5,3
2,X,6,3
3,O,4,6
4,X,4,3
5,O,4,2
6,X,3,1
7,O,4,1
8,X,5,1
9,O,5,2
10,X,4,7
11,O,3,3
12,X,5,6
13,O,4,8
14,X,3,4
15,O,6,6
16,X,5,7
17,O,6,8
18,X,3,8
19,O,2,8
20,X,2,3
21,O,6,4
22,X,7,4
23,O,7,3
24,X,8,3
25,O,8,4
26,X,3,7
27,O,8,2
28,X,5,8
29,O,1,3
30,X,1,8
31,O,6,7
32,X,7,5
33,O,7,6
34,X,8,5
35,O,8,6
36,X,3,6
37,O,6,5
38,X,2,5
39,O,3,5
40,X,2,4
41,O,1,4
42,X,1,2
43,O,1,1
44,X,8,7
45,O,8,8
46,X,7,2
47,O,1,5
48,X,2,6
49,O,8,1
50,X,7,8
51,O,1,6
52,X,7,7
53,O,2,7
54,X,6,2
55,O,3,2
56,X,1,7
58,X,6,1
60,X,7,1
61,O,2,1
62,X,2,2
~~END~~
WHITE,31
BLACK,33

